date,route_color,route_grade,rating,style,wall,offset,comment,route_id
2019-09-04,White,5.11b,4,Onsight,wall-back-wall,56.0,,e503a2718a7cee63f5c30eec90afbe0a
2019-09-04,Purple,5.10b,3,Onsight,wall-back-wall,17.9,Pretty fun﹐ but a bit stiff for 10b (also reachy).,e5b107a70f3476120b75b68fb794a2ee
2019-09-04,Pink,5.7,3,Onsight,wall-back-wall,-1.5,,2fa4d14d7592de53b6dccacf8c9a0238
2019-09-04,Tan,5.8,3,Onsight,wall-back-wall,-2.4,,a5e51f5ec204b69b0cbb466f9ce1c08e
2019-09-04,Black,V5,4,Red Point,wall-boulders,222.0,,3590a39b349058fa67edc593965dde68
2019-09-04,Lime Green,V3,4,Flash,wall-boulders,161.2,?,3d42969f22b6a2afa66d685db3463402
2019-09-03,Tan,V6,3,Red Point,wall-boulders,581.0,,da0e63e190fffafeff8c4fd9cebf8e25
2019-09-01,White,V5,3,Flash,wall-slab,192.9,,2200485c6003c051c8b53f4c9a7e176c
2019-08-28,White,V4,3,Flash,wall-boulders,423.0,,eb66d17374a910a3acc17aa3826755e7
2019-08-28,Yellow,V4,3,Flash,wall-boulders,581.0,,d7888925e25a8f263539e0ba6f1d9ba7
2019-08-28,Blue,V7,3,Red Point,wall-boulders,581.0,,3b4f9de89ff8aeca52c51e13d2d0e8e3
2019-08-28,Lime Green,V3,3,Flash,wall-boulders,581.0,fun. cool holds,6f9db8144fad396c3d38380e71a4ddaa
2019-08-28,Blue,V4,3,Red Point,wall-slab,48.7,,ab16f43a1623edfaed946ff6ecbe5004
2019-08-28,Tan,V3,3,Flash,wall-slab,48.7,,1d9d0840f2c282dfab7fd12adc752462
2019-08-28,Black,V2,3,Flash,wall-slab,48.7,,86e367997591f0d4741a009e32994b56
2019-08-28,Red,V1,3,Flash,wall-slab,48.7,,16a9517132fea170dec60fed81a55182
2019-08-28,Yellow,V6,3,Red Point,wall-slab,48.7,,35b5b515ccf2ae1cdb64e65e98eed629
2019-08-28,Lime Green,V0,3,Flash,wall-slab,48.7,,a95b543a2a87118f1613f9d1a6405c58
2019-08-28,Pink,V4,3,Flash,wall-slab,118.8,,68cbc88bb87e8ea4847e9035451e84ed
2019-08-28,Yellow,V2,3,Flash,wall-slab,118.8,,c4ba75ef856a13a7268e0cfc53a14a36
2019-08-28,White,V5,3,Flash,wall-slab,118.8,,d5e87b9f9ea2fbe4d0c2ccbc25cb36c7
2019-08-28,Black,V5,3,Flash,wall-slab,118.8,,80e3645821b08bcf5de64ff8f633a67c
2019-08-28,Tan,V8,5,Red Point,wall-slab,118.8,,12e8de978b0e5b87405962f6960c422f
2019-08-28,Red,V3,3,Flash,wall-slab,118.8,,e43b557dd2a9ee8205275eb114001368
2019-08-28,Yellow,V6,3,Flash,wall-slab,118.8,,1279c0f014d89c2f1350b164d2b3b81a
2019-08-28,Lime Green,V4,3,Flash,wall-slab,192.9,,92c15a3408bc75be846c70ede690dfc9
2019-08-28,Black,V0,3,Flash,wall-slab,192.9,,7da2163c087b7efec38d3a0cb3c1c92b
2019-08-28,Blue,V4,4,Flash,wall-slab,192.9,,16115e5c09bcba49a9e0b44e3b2d21c7
2019-08-28,Pink,V5,3,Flash,wall-slab,192.9,,8c240cf8241c21fdfa124acaf4884816
2019-08-28,Yellow,V1,3,Flash,wall-slab,192.9,,e2caaccc80deddfd3b0086ee36f4546c
2019-08-27,Blue,5.12c,4,Red Point,wall-back-wall,1274.8,,f4d0f700290745d4fa16c1bb97297dba
2019-08-27,Red,5.11b,3,Onsight,wall-island,561.5,,87fa5bd33415e4cc21c5908b47cb6d7e
2019-08-27,Lime Green,5.10a,3,Onsight,wall-island,589.6,cool problem﹐ not 10a though,0b0b27207e3997e7919f9f9a13a2c4a3
2019-08-26,Yellow,V7,4,Red Point,wall-boulders,423.0,,3bf060f49d59f295193051a365068583
2019-08-26,Black,V4,3,Flash,wall-boulders,423.0,,2ac1a4d9550b84b7177b087ea87c7ab6
2019-08-26,Blue,V1,3,Flash,wall-boulders,423.0,,d44bb3bcc87ce3657f0207d47a911bb5
2019-08-26,Red,V5,3,Flash,wall-boulders,423.0,,1c0cac2ec8dad9cc6a609e702cac14e6
2019-08-26,Lime Green,V6,3,Red Point,wall-boulders,423.0,,3822ebc9d4ab9ed882adafeb3d3f0314
2019-08-26,White HIGH START,V2,3,Flash,wall-boulders,505.7,,e23c967f7f6f07cf4ae943c03728fdd2
2019-08-26,White LOW START,V3,3,Flash,wall-boulders,505.7,,5f0ca5dd740c0ed847a28e45498c997f
2019-08-26,Pink,V2,3,Flash,wall-boulders,423.0,,427592862c20764c827a3d1e4aa85cdb
2019-08-24,Yellow,5.12a,3,Onsight,wall-back-wall,1376.9,,6d0b3727ec762401e553d12034b68424
2019-08-24,Blue,5.11b,3,Onsight,wall-back-wall,608.4,,658defabf37eb3713f3041df9cac69bd
2019-08-24,Purple,5.10d,3,Onsight,wall-back-wall,532.7,,b1c3c33283a197c5f37c084e37b72b1a
2019-08-24,Blue,5.11b,3,Onsight,wall-island,127.1,,2b00305ba3f65f4a2fe22e7f95dc98c1
